,online,reservations,rating,votes,location,rest_type,cost_for_two,type
14270,Yes,No,3.5,29,Koramangala 7th Block,Bakery,400,Delivery
12327,Yes,No,2.9,19,HSR,Quick Bites,400,Dine-out
11546,Yes,No,4.1,564,HSR,Cafe,600,Delivery
15639,No,No,3.5,10,JP Nagar,Quick Bites,400,Dine-out
25966,No,No,3.4,20,Marathahalli,Other,1200,Drinks & nightlife
15042,No,No,3.4,6,Banashankari,Casual Dining,500,Dine-out
14208,Yes,Yes,4.1,590,JP Nagar,"Casual Dining, Bar",1200,Delivery
2468,No,No,3.73178,0,Jayanagar,Quick Bites,300,Delivery
28638,Yes,No,3.0,16,Magadi Road,Quick Bites,300,Delivery
16654,Yes,No,3.7,91,Kalyan Nagar,Quick Bites,200,Dine-out
20954,Yes,No,4.0,76,Koramangala 8th Block,Cafe,400,Delivery
11757,Yes,No,3.6,18,HSR,Bakery,400,Delivery
13869,Yes,Yes,4.4,1420,Indiranagar,"Casual Dining, Bar",1100,Pubs and bars
16998,No,No,3.8,139,Kammanahalli,"Casual Dining, Bar",500,Dine-out
9583,Yes,No,4.9,1744,Brigade Road,Dessert Parlor,400,Desserts
6696,Yes,No,2.8,89,Whitefield,Other,500,Dine-out
20700,No,No,3.7,68,Koramangala 6th Block,Other,1000,Pubs and bars
3180,Yes,Yes,4.1,322,Sarjapur Road,Other,1200,Delivery
15089,Yes,No,3.7,26,BTM,Quick Bites,400,Dine-out
17806,No,No,3.7,61,BTM,Other,250,Delivery
8275,No,No,3.73178,0,BTM,Bakery,300,Desserts
9065,No,No,3.73178,0,Koramangala 7th Block,Casual Dining,500,Dine-out
11030,Yes,Yes,4.1,617,Cunningham Road,Casual Dining,1100,Delivery
28527,No,No,3.7,55,Majestic,Casual Dining,1400,Buffet
4557,Yes,No,3.73178,0,Ulsoor,Quick Bites,300,Delivery
7812,No,No,3.73178,0,BTM,Quick Bites,400,Delivery
12839,Yes,No,4.0,45,Brigade Road,Casual Dining,1500,Delivery
6297,Yes,No,3.4,4,Whitefield,Casual Dining,1500,Delivery
31832,No,No,3.9,122,Whitefield,Other,400,Dine-out
27474,No,No,3.9,120,Domlur,"Casual Dining, Bar",1700,Buffet
14534,Yes,Yes,4.1,459,JP Nagar,Casual Dining,700,Desserts
31582,Yes,No,4.0,485,Whitefield,Casual Dining,1000,Dine-out
1132,Yes,No,3.6,9,Bannerghatta Road,Quick Bites,250,Delivery
10642,No,No,3.9,39,Electronic City,Cafe,650,Dine-out
10521,No,Yes,3.7,177,Electronic City,Casual Dining,1200,Dine-out
22626,Yes,Yes,4.2,2930,Church Street,Casual Dining,1000,Delivery
27960,No,No,2.8,43,Domlur,Delivery,500,Delivery
30744,No,No,3.0,6,Bellandur,Cafe,500,Dine-out
2871,Yes,No,4.3,556,Sarjapur Road,Other,500,Cafes
23807,Yes,No,3.73178,0,Malleshwaram,Delivery,300,Delivery
12996,No,No,3.3,4,Indiranagar,Quick Bites,250,Delivery
19164,Yes,No,3.1,31,BTM,"Takeaway, Delivery",400,Delivery
26536,No,Yes,4.2,1430,Ulsoor,Other,1300,Dine-out
1772,Yes,No,3.2,133,Bannerghatta Road,Casual Dining,500,Dine-out
10593,Yes,No,3.6,16,Electronic City,Other,400,Dine-out
21904,No,No,4.1,2738,Koramangala 5th Block,Cafe,1300,Dine-out
25792,Yes,No,3.3,88,Marathahalli,Quick Bites,300,Dine-out
